Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52623709,Ordesa,Manuel Vilas,"Vilas, Manuel",Andrea Rosenberg,"=""0593084047""","=""9780593084045""",0,Riverhead Books,Hardcover,304,2020,2018,,2025/12/27,to-read,to-read (#53),to-read,,,,0,0
321660,Aliens & Anorexia,Chris Kraus,"Kraus, Chris",,"=""1584350016""","=""9781584350019""",0,Semiotext,Paperback,244,2000,2000,,2025/12/21,to-read,to-read (#52),to-read,,,,0,0
456977,Niels Lyhne,Jens Peter Jacobsen,"Jacobsen, Jens Peter",Hanna Astrup Larsen,"=""1598183451""","=""9781598183450""",0,Alan Rodgers Books,Paperback,146,2007,1880,,2025/12/05,to-read,to-read (#51),to-read,,,,0,0
56583259,Tienes que mirar,Anna Starobinets,"Starobinets, Anna","Viktoria Leftérova, Enrique Maldonado","=""""","=""""",0,Impedimenta,Paperback,192,2021,2017,,2025/11/25,to-read,to-read (#50),to-read,,,,0,0
226188767,Teoria del joc,Arià Paco Abenoza,"Abenoza, Arià Paco",,"=""8433947044""","=""9788433947048""",0,Editorial Anagrama,Kindle Edition,280,2025,,2025/12/24,2025/11/25,,,read,,,,1,0
35378382,Actos impuros,Ángelo Néstore,"Néstore, Ángelo",,"=""8490020981""","=""9788490020982""",0,Hiperión,Paperback,62,2017,2017,,2025/11/21,to-read,to-read (#48),to-read,,,,0,0
218041791,"Només terra, només pluja, només fang",Montse Albets Reig,"Reig, Montse Albets",,"=""8419332763""","=""9788419332769""",0,Periscopi,Paperback,208,2024,,,2025/11/19,to-read,to-read (#47),to-read,,,,0,0
10520714,Cumbres borrascosas,Emily Brontë,"Brontë, Emily",,"=""9876780042""","=""9789876780049""",0,Vi-Da GLOBAL,ebook,416,2011,1847,,2025/11/09,to-read,to-read (#46),to-read,,,,0,0
58347017,Los extraños,Jon Bilbao,"Bilbao, Jon",,"=""841755386X""","=""9788417553869""",0,Impedimenta,Paperback,144,2021,2021,,2025/11/08,to-read,to-read (#45),to-read,,,,0,0
220320334,Han cantado bingo,Lana Corujo,"Corujo, Lana",,"=""841035201X""","=""9788410352018""",0,Reservoir Books,Paperback,184,2025,2025,,2025/11/07,to-read,to-read (#44),to-read,,,,0,0
4706180,La buena letra,Rafael Chirbes,"Chirbes, Rafael",,"=""8433968300""","=""9788433968302""",0,Anagrama,Paperback,160,2002,1992,,2025/11/07,to-read,to-read (#43),to-read,,,,0,0
60049,Seda,Alessandro Baricco,"Baricco, Alessandro","Carlos Gumpert, Xavier González Rovira","=""8433908405""","=""9788433908407""",0,Editorial Anagrama,Paperback,128,2013,1996,,2025/11/07,to-read,to-read (#42),to-read,,,,0,0
60752134,Si las cosas fuesen como son,Gabriela Escobar,"Escobar, Gabriela",,"=""9566137087""","=""9789566137085""",0,Ediciones Overol,Paperback,108,2022,,,2025/11/07,to-read,to-read (#41),to-read,,,,0,0
24502446,También esto pasará,Milena Busquets,"Busquets, Milena",,"=""""","=""""",0,Editorial Anagrama,Kindle Edition,124,2015,2015,,2025/11/07,to-read,to-read (#40),to-read,,,,0,0
232241676,El centelleo,Andrea Santiago,"Santiago, Andrea",,"=""8410483165""","=""9788410483163""",0,Plasson e Bartleboom,Paperback,152,2025,2025,,2025/11/07,to-read,to-read (#39),to-read,,,,0,0
205636254,Dorayaki,Durian Sukegawa,"Sukegawa, Durian",Amalia Sato,"=""6319005041""","=""9786319005042""",0,Chai Editora,Paperback,200,2024,2013,,2025/11/07,to-read,to-read (#38),to-read,,,,0,0
56312677,La ternera,Aurora Freijo Corbeira,"Corbeira, Aurora Freijo",,"=""8433999141""","=""9788433999146""",0,Anagrama,Paperback,128,2021,2021,,2025/11/07,to-read,to-read (#37),to-read,,,,0,0
3051050,La vida privada de los árboles,Alejandro Zambra,"Zambra, Alejandro",,"=""8433971549""","=""9788433971548""",0,Anagrama,Paperback,128,2007,2007,,2025/11/07,to-read,to-read (#36),to-read,,,,0,0
228811149,Seismil,Laura C. Vela,"Vela, Laura C.",Sabina Urraca,"=""841290592X""","=""9788412905922""",0,Niños Gratis*,Paperback,168,2025,2025,,2025/11/07,to-read,to-read (#35),to-read,,,,0,0
220841146,Habitada,Cristina Sánchez-Andrade,"Sánchez-Andrade, Cristina",,"=""8433929666""","=""9788433929662""",0,Editorial Anagrama,Paperback,232,2025,,,2025/11/05,to-read,to-read (#34),to-read,,,,0,0
3215023,Claros del bosque,María Zambrano,"Zambrano, María",,"=""8432203394""","=""9788432203398""",0,Seix Barral,Paperback,159,1977,1977,,2025/11/05,to-read,to-read (#33),to-read,,,,0,0
217354373,Mañana será otro día,Keum Suk Gendry-Kim,"Gendry-Kim, Keum Suk",Joo Hasun,"=""8419437905""","=""9788419437907""",0,Reservoir Books,Paperback,232,2025,2023,,2025/10/23,to-read,to-read (#32),to-read,,,,0,0
75519,Métaphysique des tubes,Amélie Nothomb,"Nothomb, Amélie",,"=""""","=""""",0,Le Livre de Poche,Mass Market Paperback,156,2002,2000,,2025/10/21,to-read,to-read (#31),to-read,,,,0,0
205169784,"Estuve aquí y me acordé de nosotros: Una historia sobre turismo, trabajo y clase (Nuevos cuadernos Anagrama, #61)",Anna Pacheco,"Pacheco, Anna",,"=""8433922300""","=""9788433922304""",0,Anagrama,Paperback,141,2024,2024,,2025/10/19,to-read,to-read (#30),to-read,,,,0,0
